search_word	similar_words
uitbuiting	['armoede', 'achterstelling', 'onrechtvaardigheid', 'oppressie', 'discriminatie']
signalen	['signaal', 'pulsen', 'meerwegontvangst', 'beeldsignaal', 'draaggolven']
tiende	['negende', 'elfde', 'zevende', 'twaalfde', 'zesde']
bolhaar	['aalbersberg', 'beduin', 'emster', 'politiedistrictschef', 'oudpenningmeester']
daders	['verdachten', 'plegers', 'dader', 'moorden', 'schuldigen']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
dettmeijer	['mcrobbie', 'dugal', 'surovy', 'houdart', 'delorie']
gemeentelijk	['middelwijkstraat', 'cantonlaan', 'steenhoffstraat', 'grothestraat', 'eikenderveld']
niveau	['competitieniveau', 'districtsniveau', 'nlqfeqf', 'gemeentebericht', 'landsbericht']
human	['for', 'problems', 'decimating', 'rights', 'reintegration']
trafficking	['laczko', 'discrimination', 'article', 'reintegration', 'traite']
jaarverslag	['jaarverslagen', 'jaarrekening', 'prospectus', 'rapport', 'surseances']
jurisprudentie	['rechtsregels', 'wetgeving', 'wetsgeschiedenis', 'prorogatie', 'vehofhelvetia']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
kinderarbeid	['seksbranche', 'uitbuiting', 'discriminerende', 'arbeidsomstandigheden', 'discriminatie']
kindermishandeling	['pedoseksuele', 'delinquenten', 'meldcode', 'exhibitionisme', 'ouderbegeleiding']
loverboys	['vrouwenhandelaren', 'excliënten', 'straatroof', 'gedragsmoeilijkheden', 'potenrammers']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
negende	['zevende', 'tiende', 'elfde', 'zesde', 'achtste']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
non	['confundar', 'dimenticano', 'pourtant', 'ragazza', 'finisce']
punishment	['contributed', 'reported', 'reconciled', 'enmity', 'granted']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
misbruik	['kindermisbruik', 'seksueel', 'commissiedeetman', 'misbruiken', 'minderjarigen']
slachtoffer	['slachtoffertje', 'mishandelen', 'onschuldige', 'homoclub', 'moorddoodslag']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
stage	['stages', 'radioopleiding', 'cursus', 'castingbureau', 'playerslasky']
zicht	['linkerwiel', 'kanonnendek', 'omwaaien', 'schoorsteeneffect', 'aanaarden']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
kwetsbaarheid	['consumptiepatroon', 'dragelijker', 'medicalisatie', 'schuifkrachten', 'onbegaanbaarheid']
arbeidsuitbuiting	['arbeidsmarktfraude', 'familieplanning', 'baanzekerheid', 'souteneurschap', 'misdaadverwekkende']
canada	['nieuwzeeland', 'australië', 'grootbrittannië', 'amerika', 'staten']
dader	['daderkennis', 'verdachte', 'schuldige', 'moordenaar', 'daders']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
klant	['consument', 'klanten', 'giromaat', 'sluist', 'courtage']
erbij	['zelf', 'daarbij', 'dankos', 'nu', 'daar']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
klant	['consument', 'klanten', 'giromaat', 'sluist', 'courtage']
erbij	['zelf', 'daarbij', 'dankos', 'nu', 'daar']
draagmoederschap	['wensouders', 'huidtests', 'stemmingsstabiliserende', 'donormelk', 'auteursrechtinbreuk']
effectief	['effectiever', 'effectieve', 'efficiënt', 'afdoende', 'iproniazide']
engels	['unnamable', 'baslow', 'cofreemasonry', 'votes', 'bislama']
gemeentelijk	['middelwijkstraat', 'cantonlaan', 'steenhoffstraat', 'grothestraat', 'eikenderveld']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
hoort	['denkt', 'ziet', 'terugkomt', 'aankomt', 'roept']
nergens	['niet', 'nooit', 'niemand', 'niets', 'alleen']
thuis	['éénsoap', 'zakendiner', 'priestertje', 'blokfluitles', 'loonstad']
gewogen	['berekend', 'standaarddeviatie', 'standaarddeviaties', 'varianties', 'schoolgewichten']
gewogen	['berekend', 'standaarddeviatie', 'standaarddeviaties', 'varianties', 'schoolgewichten']
risico	['risicos', 'pneumokokkenmeningitis', 'ovariumkanker', 'stolselvorming', 'foliumzuursuppletie']
istanbul	['ankara', 'izmir', 'istanboel', 'eskişehir', 'adana']
protocol	['verbindingsloos', 'netwerkprotocol', 'tkip', 'internetprotocol', 'tls']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
manifest	['pamflet', 'gravensteengroep', 'ecologistisch', 'essay', 'informatietijdperk']
medewerkers	['personeelsleden', 'werknemers', 'onderwijsondersteunende', 'formatieplaatsen', 'stafleden']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
minderjarig	['meerderjarig', 'minderjarige', 'troonsopvolger', 'voogdes', 'regeringsbekwaam']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
nieuwsbrief	['maandelijks', 'alphencc', 'website', 'ledenmagazine', 'programmagids']
nigeria	['ghana', 'kameroen', 'ivoorkust', 'senegal', 'oeganda']
orgaanhandel	['gierigaards', 'huurmoorden', 'drugsdeals', 'jachtshows', 'veebaronnen']
pedofilie	['homoseksualiteit', 'pedoseksualiteit', 'pornografie', 'bestialiteit', 'kindermisbruik']
preventie	['edpbw', 'lotgenotencontact', 'invaliditeitsuitkering', 'bestrijding', 'patiëntveiligheid']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
roma	['lazio', 'internazionale', 'milan', 'juventus', 'fiorentina']
sekstoerisme	['herstelrecht', 'mobbing', 'mensenrechtenschending', 'pornografie', 'cyberpesten']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
tegen	['nazitanks', 'strijd', 'groepsmatch', 'blameerde', 'clubverplichtingen']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
signalen	['signaal', 'pulsen', 'meerwegontvangst', 'beeldsignaal', 'draaggolven']
arbeidsuitbuiting	['arbeidsmarktfraude', 'familieplanning', 'baanzekerheid', 'souteneurschap', 'misdaadverwekkende']
slavernij	['zwarten', 'slavenhouders', 'afschaffing', 'zuidafrikaners', 'rassenscheiding']
unodc	['unfpa', 'vnorganisatie', 'ncia', 'unwto', 'tchrd']
vietnam	['laos', 'cambodja', 'zuidvietnam', 'noordvietnam', 'myanmar']
vog	['eingetragene', 'inspanningsverbintenis', 'antifraudebeleid', 'bogin', 'advertentiefraude']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
adoptie	['adopteren', 'wensouders', 'adoptieouders', 'stiefouder', 'geadopteerde']
baltische	['rusland', 'estland', 'hansabank', 'radimitsjen', 'letland']
bedelen	['venten', 'lastigvielen', 'ziekenfondsverzekerd', 'gokverslaafden', 'schuldslaven']
brenninkmeijer	['spierenburg', 'touber', 'dpoliticus', 'lambaart', 'nijnatten']
brief	['brieven', 'corinthiërs', 'telegram', 'meedeelde', 'laodicenzen']
canadees	['australisch', 'amerikaans', 'canadeesamerikaans', 'nieuwzeelands', 'brits']
onderzoek	['onderzoeken', 'cytologisch', 'crosscultureel', 'ivfkinderen', 'neurowetenschappelijk']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
loverboys	['vrouwenhandelaren', 'excliënten', 'straatroof', 'gedragsmoeilijkheden', 'potenrammers']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
consultatie	['posthumusii', 'ongevallenonderzoek', 'toetsingsadvies', 'conciliatie', 'arbeidsgerechten']
contact	['aanraking', 'contacten', 'aanvaring', 'connecties', 'samen']
criminele	['drugshandel', 'criminelen', 'misdaad', 'afpersing', 'drugssmokkel']
uitbuiting	['armoede', 'achterstelling', 'onrechtvaardigheid', 'oppressie', 'discriminatie']
definitie	['serenos', 'avesuchia', 'definities', 'saltasaurinae', 'kladedefinitie']
loverboy	['forsworn', 'brotherly', 'doofstom', 'itgirl', 'vickys']
den	['haag', 'wassenaar', 'coljé', 'bosch', 'gouda']
haag	['den', 'rotterdam', 'wassenaar', 'haarlem', 'gouda']
den	['haag', 'wassenaar', 'coljé', 'bosch', 'gouda']
haag	['den', 'rotterdam', 'wassenaar', 'haarlem', 'gouda']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
effectieve	['effectief', 'leuproreline', 'koersstabiliteit', 'antilichaamafhankelijke', 'ogenblikkelijke']
aanpak	['werkwijze', 'oplossingsgerichte', 'uitwerking', 'onderzoeksmethodes', 'regionaaleconomisch']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
gemeentelijk	['middelwijkstraat', 'cantonlaan', 'steenhoffstraat', 'grothestraat', 'eikenderveld']
niveau	['competitieniveau', 'districtsniveau', 'nlqfeqf', 'gemeentebericht', 'landsbericht']
elfde	['twaalfde', 'negende', 'tiende', 'dertiende', 'zevende']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
gedwongen	['genoodzaakt', 'dwongen', 'dreigden', 'oorlogsvoorbereidingen', 'gesommeerd']
arbeid	['mplapartij', 'privéondernemerschap', 'flexibiliseren', 'vvdwoordvoerder', 'zekerheidsbijdragen']
gedwongen	['genoodzaakt', 'dwongen', 'dreigden', 'oorlogsvoorbereidingen', 'gesommeerd']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
gegevensdragers	['rawbestanden', 'videosignalen', 'muziekbestanden', 'netwerkbronnen', 'proxyservers']
gevolgen	['complicaties', 'oorzaken', 'oorzaak', 'consequenties', 'ernstige']
incest	['overspel', 'verkrachting', 'bloedschande', 'echtbreuk', 'pedoseksualiteit']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
achter	['slotronden', 'terwijl', 'drukschot', 'opraapte', 'dichtrijden']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
voordeur	['deur', 'toegangsdeur', 'deuropening', 'raam', 'wandkast']
goede	['slechte', 'betere', 'goed', 'gunstige', 'moeilijke']
grond	['bodem', 'slempgevoelige', 'gronden', 'ziltige', 'sintbaafswijk']
grond	['bodem', 'slempgevoelige', 'gronden', 'ziltige', 'sintbaafswijk']
groningen	['leeuwarden', 'utrecht', 'groningse', 'winschoten', 'appingedam']
herman	['jan', 'dirk', 'gerard', 'oolbekkink', 'schoonderwalt']
bolhaar	['aalbersberg', 'beduin', 'emster', 'politiedistrictschef', 'oudpenningmeester']
hoenderloo	['uddel', 'orvelte', 'hierden', 'ede', 'vasse']
groep	['groepen', 'neosuchia', 'artch', 'sprangeen', 'austrotai']
humanitair	['oorlogsrecht', 'staatsaansprakelijkheid', 'mensenrechten', 'internationaal', 'privaatrecht']
niet	['alleen', 'nooit', 'wél', 'toch', 'omdat']
tijdelijk	['totdat', 'weer', 'waarna', 'tijdelijke', 'definitief']
incest	['overspel', 'verkrachting', 'bloedschande', 'echtbreuk', 'pedoseksualiteit']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
ii	['iii', 'iv', 'i', 'vi', 'vii']
jeugdhulp	['vuvereniging', 'ggzinstellingen', 'ndlhidc', 'ledenbijeenkomsten', 'ggnet']
jeugdzorg	['jeugdhulpverlening', 'reclassering', 'kinderopvang', 'kinderbescherming', 'ouderenzorg']
jongensprostitutie	['shinheimin', 'griekssprekend', 'khum', 'openbaringsboeken', 'zoroastristisch']
jurisprudentie	['rechtsregels', 'wetgeving', 'wetsgeschiedenis', 'prorogatie', 'vehofhelvetia']
kind	['vrouw', 'moeder', 'kleinkind', 'buitenechtelijk', 'dochtertje']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
kindermisbruik	['misbruik', 'pedofilie', 'verkrachting', 'mishandeling', 'geweldpleging']
kindermishandeling	['pedoseksuele', 'delinquenten', 'meldcode', 'exhibitionisme', 'ouderbegeleiding']
klanten	['consumenten', 'cadeaukaarten', 'advertentiesites', 'prbureaus', 'kortingsbonnen']
klant	['consument', 'klanten', 'giromaat', 'sluist', 'courtage']
erbij	['zelf', 'daarbij', 'dankos', 'nu', 'daar']
kwetsbaarheid	['consumptiepatroon', 'dragelijker', 'medicalisatie', 'schuifkrachten', 'onbegaanbaarheid']
lvb	['leylandverheul', 'nsdochter', 'luchtverkeersbeveiliging', 'tpragom', 'csaii']
mandaat	['doornikaat', 'unmeewaarnemingsmissie', 'namendinantphilippeville', 'veurnediksmuideoostende', 'unomigwaarnemers']
media	['pers', 'persagentschappen', 'crosslight', 'nieuwwijnl', 'berichtgeving']
medisch	['medische', 'lumc', 'werkplaatsfunctie', 'vumc', 'infectieziektebestrijding']
meldcode	['boetebeleid', 'kinderstrafrecht', 'privilleges', 'kartelverbod', 'levensvraagstukken']
melding	['gewag', 'atpa', 'riperkerka', 'herlein', 'capelleken']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
menschenhandel	['sexuellen', 'ausbeutung', 'excès', 'cachées', 'êtres']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
tegen	['nazitanks', 'strijd', 'groepsmatch', 'blameerde', 'clubverplichtingen']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
ii	['iii', 'iv', 'i', 'vi', 'vii']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
omvang	['grootte', 'personeelssterkte', 'geringe', 'vertekenen', 'verspreidingsdichtheid']
onderzoek	['onderzoeken', 'cytologisch', 'crosscultureel', 'ivfkinderen', 'neurowetenschappelijk']
orgaan	['opleidingsorganen', 'vomeronasaal', 'beleidsbepalend', 'gremium', 'besluitvormende']
pedo	['papionini', 'kwalachtige', 'nestmuis', 'bellbird', 'zwerminsecten']
pers	['berichtgeving', 'media', 'publiciteit', 'krant', 'telegraaf']
persbericht	['rapport', 'persconferentie', 'persverklaring', 'interview', 'eindrapport']
pilot	['pilotaflevering', 'spooktacular', 'godsend', 'kostuumfilm', 'filmation']
pooier	['exvriend', 'bedriegster', 'drugsdealer', 'inpalmt', 'linny']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
recidive	['schadeletsel', 'recidivegevaar', 'toerekeningsvatbaarheid', 'strafmaximum', 'bopzinstelling']
religie	['godsdienst', 'godsdiensten', 'tradities', 'godsdienstige', 'religieuze']
schatting	['honderdvijftigduizend', 'tienduizend', 'veertigduizend', 'vijfduizend', 'tweeduizend']
schrijnend	['ontheemding', 'schrijnende', 'bedreigender', 'geestestoestand', 'geretardeerd']
pad	['afraken', 'kopjeonder', 'zweefsessie', 'tarmolijnbomen', 'bewandelen']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
misbruik	['kindermisbruik', 'seksueel', 'commissiedeetman', 'misbruiken', 'minderjarigen']
sexting	['plaagspelletje', 'scheldkritieken', 'leerstrategie', 'stratfordians', 'keygens']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
sociale	['maatschappelijke', 'economische', 'stadssociologie', 'sociaaleconomische', 'participatie']
media	['pers', 'persagentschappen', 'crosslight', 'nieuwwijnl', 'berichtgeving']
social	['institutions', 'transnational', 'entrepreneurship', 'sociology', 'programs']
media	['pers', 'persagentschappen', 'crosslight', 'nieuwwijnl', 'berichtgeving']
statistieken	['ploegsamenstellingen', 'transfers', 'emmenaren', 'clubkampioenen', 'overzichten']
strafbaarstelling	['strafbaarheid', 'strafbare', 'strafrechtelijke', 'mensenhandel', 'sanctionering']
technologie	['technologieën', 'technologische', 'geavanceerde', 'techniek', 'halfgeleiderheterostructuren']
tiende	['negende', 'elfde', 'zevende', 'twaalfde', 'zesde']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
toerisme	['ecotoerisme', 'landbouw', 'grenshandel', 'recreatie', 'delfstofwinning']
trafficking	['laczko', 'discrimination', 'article', 'reintegration', 'traite']
uithuwelijking	['egons', 'vrijgeborenen', 'buurkoninkrijk', 'lippebiesterfelds', 'kleinzoontje']
verblijfsregeling	['vermogensrechtelijke', 'onderhoudsgelden', 'onderhoudsgerechtigde', 'informatieplicht', 'vervoersvoorzieningen']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
verblijfsregeling	['vermogensrechtelijke', 'onderhoudsgelden', 'onderhoudsgerechtigde', 'informatieplicht', 'vervoersvoorzieningen']
verblijfsregeling	['vermogensrechtelijke', 'onderhoudsgelden', 'onderhoudsgerechtigde', 'informatieplicht', 'vervoersvoorzieningen']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
vervolging	['vervolgingen', 'veroordeling', 'marteling', 'deportatie', 'beraming']
vijfde	['zesde', 'zevende', 'vierde', 'derde', 'achtste']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
voorlichting	['educatie', 'ouderbegeleiding', 'orthopedagogische', 'jeugdcriminaliteit', 'lotgenotencontact']
voorzichtig	['goed', 'sleets', 'afdroogt', 'omzichtig', 'sproeiwater']
